dataset,k,kappa_eig,kappa_U,eig_min,eig_max,d_eff,ortho_error
ogbn-arxiv,1,3.792199550586701,13.882549286462055,0.2446234959670288,0.9276611114691142,128,2.7798396917688706e-10
ogbn-arxiv,2,5.747990547896681,12.141987970291286,0.1420998911952553,0.8167888314474742,128,2.1754209544866399e-10
ogbn-arxiv,4,6.488296018046769,14.046368915932607,0.12522265820648346,0.8124816746103581,128,2.6581981060758153e-10
ogbn-arxiv,6,7.371428411677777,14.558767327982373,0.10909919795470545,0.8042169274945737,128,3.219092770123666e-10
ogbn-arxiv,8,8.383877302661467,14.720558892027972,0.09522295678505172,0.7983375860825089,128,2.98515545615885e-10
ogbn-arxiv,10,9.49960405213158,14.767104466602758,0.08361160780042919,0.7942771682661935,128,2.987327052395017e-10
ogbn-arxiv,12,11.250527296577037,14.76905563511403,0.07034664607373178,0.7914368618751633,128,2.8830038356630894e-10
ogbn-arxiv,20,16.711335940159525,14.65967121373579,0.0470721072540772,0.7866377977341042,128,2.4977730994635294e-10
ogbn-arxiv,30,19.954377986125838,14.570892069558644,0.03933139543192155,0.7848335311703458,128,2.479613181449736e-10
pubmed,1,5.5590998453988005,4.784630612534007,0.1721969356259866,0.9572599582165693,500,1.2808332172653536e-10
pubmed,2,8.056462319547267,6.4320929926116275,0.10930519252543111,0.8806131649119953,500,1.2347300959447693e-10
pubmed,4,6.648343825244025,9.26253550486393,0.10297569320396446,0.6846178140628002,500,1.5269252529037658e-10
pubmed,6,6.886153766439355,11.91043840632446,0.08396082437949196,0.5781671470341917,500,1.7536239127480258e-10
pubmed,8,7.918670600500082,18.57905813366305,0.07214283260525059,0.5712753275879966,500,1.827447082547451e-10
pubmed,10,8.878610882452515,27.944490016133244,0.06399811983211257,0.5682144031978947,500,1.9289214669981902e-10
pubmed,12,9.777559543608184,39.616473083771105,0.05778161523206694,0.5649631834573922,500,1.899543855543584e-10
pubmed,20,12.529729069628067,99.21627468957507,0.044337031440953384,0.5555309917067272,500,2.0747326079373352e-10
pubmed,30,13.75161130261455,190.13998631821448,0.04006201047288712,0.550917196024417,500,2.0932788835636984e-10
wikics,1,8.622991695977937,37.662625765855175,0.12055691862271692,1.039561308176376,300,2.914060104330929e-10
wikics,2,9.63203837794422,53.479510122389534,0.10988505044129152,1.0584170230128562,300,3.452316210683648e-10
wikics,4,9.680908669260566,176.47789318413774,0.10336846559111434,1.0007006746691813,300,6.955186426793603e-10
wikics,6,12.99390616697542,610.2721771960544,0.06985430940530292,0.9076803417713747,300,8.586974464819264e-10
wikics,8,13.845756136903626,1367.8566525981012,0.062381283058581455,0.8637160327362764,300,9.241524212555419e-10
wikics,10,14.073142864986531,2738.331418638218,0.0611409755960989,0.8604456844685548,300,9.28288113044573e-10
wikics,12,14.144913196559246,5322.942507285617,0.060894382546767795,0.8613457552821028,300,9.286902358240923e-10
wikics,20,14.215018612796353,47901.00395709256,0.060814295782640373,0.8644763464743357,300,9.247416166147104e-10
wikics,30,14.255221901082926,2369987.6340633887,0.060813022173198436,0.86690312555442,300,9.19268106081006e-10
