dataset,k,num_eigenvectors_used,requested_p,d_eff,linear_probe_accuracy
amazon-photo,8,50,50,745,83.6898
amazon-photo,8,745,all,745,88.5695
amazon-photo,10,5,5,745,40.4412
amazon-photo,10,10,10,745,69.1176
amazon-photo,10,20,20,745,74.131
amazon-photo,10,50,50,745,83.8235
amazon-photo,10,745,all,745,89.1043
amazon-photo,12,5,5,745,40.7754
amazon-photo,12,10,10,745,68.984
amazon-photo,12,20,20,745,74.1979
amazon-photo,12,50,50,745,84.1578
amazon-photo,12,745,all,745,88.8369
amazon-photo,20,5,5,745,42.7807
amazon-photo,20,10,10,745,67.8476
amazon-photo,20,20,20,745,74.1979
amazon-photo,20,50,50,745,84.492
amazon-photo,20,745,all,745,89.1711
amazon-photo,30,5,5,480,35.9626
amazon-photo,30,10,10,480,64.9064
amazon-photo,30,20,20,480,69.7861
amazon-photo,30,50,50,480,82.2861
amazon-photo,30,480,all,480,90.7086
citeseer,1,5,5,2035,54.6003
citeseer,1,10,10,2035,64.8567
citeseer,1,20,20,2035,63.9517
citeseer,1,50,50,2035,58.371
citeseer,1,2035,all,2035,27.7526
citeseer,2,5,5,2035,55.0528
citeseer,2,10,10,2035,68.4766
citeseer,2,20,20,2035,66.2142
citeseer,2,50,50,2035,60.4827
citeseer,2,2035,all,2035,28.356
citeseer,4,5,5,2033,58.2202
citeseer,4,10,10,2033,67.27
citeseer,4,20,20,2033,66.365
citeseer,4,50,50,2033,59.4268
citeseer,4,2033,all,2033,28.9593
citeseer,6,5,5,1989,59.5777
citeseer,6,10,10,1989,68.175
citeseer,6,20,20,1989,64.2534
citeseer,6,50,50,1989,57.0136
citeseer,6,1989,all,1989,28.0543
citeseer,8,5,5,1897,59.276
citeseer,8,10,10,1897,66.9683
citeseer,8,20,20,1897,66.9683
citeseer,8,50,50,1897,56.2594
citeseer,8,1897,all,1897,30.9201
citeseer,10,5,5,1782,60.6335
citeseer,10,10,10,1782,65.6109
citeseer,10,20,20,1782,64.2534
citeseer,10,50,50,1782,56.7119
citeseer,10,1782,all,1782,31.3725
citeseer,12,5,5,1653,57.7677
citeseer,12,10,10,1653,55.9578
citeseer,12,20,20,1653,65.1584
citeseer,12,50,50,1653,57.1644
citeseer,12,1653,all,1653,32.5792
citeseer,20,5,5,1246,48.4163
citeseer,20,10,10,1246,54.7511
citeseer,20,20,20,1246,62.2926
citeseer,20,50,50,1246,58.9744
